Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
2;10;600400CM7;Anbau Ausloesestange;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001M;;
3;1;500600406;Auslösstange vollständig;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W01;
3;2;500600410;Lager Auslösestange li;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W05;
3;3;500600411;Lager Auslösestange re;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W05;
3;4;500600412;Halter Sensor;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W05;
3;5;500446689;Sensor induktiv IGC223;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W02;
3;6;500488612;Gleitlager mit Bund XFM-3034-40 IglidurX;2;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W11;X
3;7;500518535;Druckstück verstärkte Federkraft M12;4;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W02;
3;8;812019370;Sechskantmutter M12 ISO 4035-A2-035;4;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;9;500485902;Zylinderschr.M10x30 ISO4762 A4-80;4;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;10;500039227;Sperrkantscheibe SKS-10 TN096050-NrFSt;4;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;11;500333464;Sechskantschr.M6x12 ISO4017-A4-80;2;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;12;815001308;Sperrkantscheibe SKS-6-NrFSt;2;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;1;500036716;Montagepaste Klüber 46MR401; 0,000;KG;86;SP;1;PD;F;ROH;1;88;M1FL;75134;W09;
3;11;500340296;Loctite 243 Schraubensicherung; 0,010;KG;86;SP;1;PD;F;ROH;1;88;M1FL;W-VIE001;W09;
2;11;590812CM7;Anbau Rückspiegel CM1 7;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001M;;
3;1;500596655;Rückspiegel links CM1 7;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W11;
3;2;500596653;Rückspiegel rechts CM1 7;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W11;
3;3;500599432;Verstellantrieb Rückspiegel LI;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W11;
3;4;500599431;Verstellantrieb Rückspiegel RE;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W11;
3;5;500505902;Klettband DualLock SJ3550 12mm sk; 0,320;M;86;SP;1;PD;F;ROH;1;88;M1FL;W-BRU001;W02;
3;6;500287173;Primer 3M 94; 0,001;KG;86;SP;1;PD;F;ROH;1;88;M1FL;W-BRU001;W09;
3;11;500340296;Loctite 243 Schraubensicherung; 0,016;KG;86;SP;1;PD;F;ROH;1;88;M1FL;W-VIE001;W09;
2;12;596912CM7;Anbau Antennen CM7;1;ST;86;SP;300;PD;E;HALB;;;INV;W-BRU001M;;
3;1;500597988;Adapterplatte 5x220x220;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRULAP;W05;
3;2;500598889;Kombiantenne VHF / GPS;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRULAP;W01;
3;3;500566584;Horn Tyfon TW370/F1S;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRULAP;W02;
3;4;500594129;Verstärker TK251H für Tyfon TW370F1;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRULAP;W11;
3;5;500596832;Halterung Horn;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRULAP;W05;
3;6;500599984;Adapterplatte BLRD-Antenne;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRULAP;W01;
3;7;500437568;Zylinderschr.M8x16 DIN7984-A4-70;4;ST;86;SP;1;ND;F;ROH;;88;;W-BRULAP;W02;X
3;8;500183079;Sperrkantscheibe SKZ-8-NrFSt;4;ST;86;SP;1;ND;F;ROH;;88;;W-BRULAP;W09;X
3;9;500389608;Zylinderschr.M8x16 ISO4762-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;;W-BRULAP;W09;X
3;10;815001287;Sperrkantscheibe SKM-8 TN096340-NrFSt-A4;4;ST;86;SP;1;ND;F;ROH;;88;;W-BRULAP;W09;X
3;11;500327166;Sechskantschr.M8x20 ISO4017-A4-80;6;ST;86;SP;1;ND;F;ROH;;88;;W-BRULAP;W09;X
3;12;815001312;Sperrkantscheibe SKK-8 TN096740-NrFSt;6;ST;86;SP;1;ND;F;ROH;;88;;W-BRULAP;W09;X
3;13;500439576;Sechskantschr.M6x10 ISO4017-A4-70;4;ST;86;SP;1;PD;F;ROH;;88;;W-BRULAP;W09;X
3;14;500053323;Sperrkantscheibe SKB-6-NrFSt;12;ST;86;SP;1;ND;F;ROH;;88;;W-BRULAP;W09;X
3;15;650010410;Sechskantm.M6 ISO4032-A4-80;8;ST;86;SP;1;ND;F;ROH;;88;;W-BRULAP;W09;X
3;16;500336578;O-Ring 164,7x3,53 11.4020.3584 EPDM70;1;ST;86;SP;1;ND;F;ROH;;88;;W-BRULAP;W09;X
3;17;500600066;O-Ring 70x3 11.4006.3070 EPDM70;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRULAP;W02;X
3;11;500340296;Loctite 243 Schraubensicherung; 0,004;KG;86;SP;1;PD;F;ROH;1;88;;W-VIE001;W09;
3;1;500036716;Montagepaste Klüber 46MR401; 0,000;KG;86;SP;1;PD;F;ROH;1;88;;75134;W09;
3;1;500421553;Klebstoff Terostat MS 935 schwarz; 0,000;KG;86;SP;1;PD;F;ROH;1;88;;70887;W09;
3;2;815001308;Sperrkantscheibe SKS-6-NrFSt;1;ST;86;SP;1;ND;F;ROH;;88;;W-FIN001;W09;X
3;3;500483680;Sechskantm.M6 ISO4035-A4-035;1;ST;86;SP;1;PD;F;ROH;;88;;W-FIN001;W09;X
3;951;500464328;Kontaktfett P1 AL/CU Verbindungen 91120; 0,001;KG;86;SP;1;PD;F;ROH;1;88;;75608;W02;
3;1;650010410;Sechskantm.M6 ISO4032-A4-80;1;ST;86;SP;1;ND;F;ROH;;88;;W-FIN001;W09;X
3;2;815001308;Sperrkantscheibe SKS-6-NrFSt;2;ST;86;SP;1;ND;F;ROH;;88;;W-FIN001;W09;X
3;3;500418902;Sechskantschr.M6x16 ISO4017-A4-70;1;ST;86;SP;1;ND;F;ROH;;88;;W-FIN001;W09;X
3;951;500464328;Kontaktfett P1 AL/CU Verbindungen 91120; 0,001;KG;86;SP;1;PD;F;ROH;1;88;;74611;W02;
2;13;585448CM7;K-Verlegung Innen CM7 STIB;1;ST;86;SP;300;PD;E;HALB;;;INV;W-BRU001M;;
2;14;592307CM7;Anbau Dachblenden CM;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001M;;
3;1;500592225;Dachblende CM kpl li;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W06;
3;2;500592226;Dachblende CM kpl re;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W06;
3;3;500577096;Halter Dachblende kpl;2;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W05;
3;4;500592350;Halter Dachblende CM kpl;2;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W05;
3;5;500329819;Sechskantschr.M8x25 ISO4017-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;6;500057305;Sperrkantscheibe SKB-8-NrFSt;4;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;7;500526479;Spannhülse Rd 16x20 M8;4;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W05;
3;8;500329847;Sechskantschr.M8x40 ISO4017-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;9;500455434;Befestigungspl. M12 Bl 12x30x40 EN10029;4;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W02;
3;10;500446865;U-Profil M12  Bl 2x40x65 EN10029;4;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W05;
3;11;500276727;Sperrkantscheibe SKB-12 TN096560-NrFSt;4;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;12;500344601;Sechskantschr.M12x30 ISO4017-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W09;X
3;13;500444074;Beilage Bl 1x60x70 ISO9445;2;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRU001;W11;X
3;1;500036716;Montagepaste Klüber 46MR401; 0,000;KG;86;SP;1;PD;F;ROH;1;88;M1FL;75134;W09;
3;15;500594335;Beilage Bl 1x50x50 ISO9445;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRU001;W05;
2;15;584994CM7;Anbau Klimaanlage CM 2300;1;ST;86;SP;300;PD;E;HALB;;;INV;W-BRU001M;;
3;1;500514293;Kompensator L=180;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRU001;W02;
2;16;585016CM7;Anbau S-Waschanlage CM;1;ST;86;SP;300;PD;E;HALB;1;15;INV;W-BRU001M;;
3;1;500595726;Gehaeuse kpl.inkl.Befestigungswinkel;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRULAP;W01;
3;2;500595727;Wassertank m.Pumpe u.Fuellstandsensor;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRULAP;W01;
3;3;500595729;Scheibenwischerarm mit Waschduese;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRULAP;W01;
3;4;500595780;Scheibenwischerblatt 1000mm;1;ST;86;SP;1;PD;F;ROH;;88;M1FL;W-BRULAP;W01;
3;5;500329819;Sechskantschr.M8x25 ISO4017-A4-80;6;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRULAP;W09;X
3;6;815001287;Sperrkantscheibe SKM-8 TN096340-NrFSt-A4;6;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRULAP;W09;X
3;7;500498792;Beilage Bl 2x30x35 ISO9445;4;ST;86;SP;1;ND;F;HALB;;88;M1FL;W-BRULAP;W05;X
3;8;500531006;Beilage Bl 2x90x30 ISO9445;4;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRULAP;W05;X
3;1;500036716;Montagepaste Klüber 46MR401; 0,030;KG;86;SP;1;PD;F;ROH;1;88;M1FL;75134;W09;
3;1;500122040;Klebstoff Hyloglue plus 405 Tube 20g; 0,004;KG;86;SP;1;PD;F;ROH;1;88;M1FL;56460;W09;
3;11;500327166;Sechskantschr.M8x20 ISO4017-A4-80;6;ST;86;SP;1;ND;F;ROH;;88;M1FL;W-BRULAP;W09;X
3;1;500195500;Wefapox 2K W DS Lack RAL 9005 Wefa; 0,000;KG;86;SP;1;PD;F;ROH;1;88;M1FL;W-FZU001;W09;
3;2;500140799;Härter 51 f.2K W DS Lack Wefa Hobb.; 0,000;KG;86;SP;1;PD;F;ROH;1;88;M1FL;W-FZU001;W09;
2;17;585458CM7;Layout Aussen CM7 STIB;1;ST;86;SP;300;PD;E;HALB;;;INV;W-BRU001M;;
3;1;500590712;C421 K-Baum Aussen CM7-RO-001 STIB;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRU001;W11;
3;2;500605801;Dichtung Verschraubungsplatte;1;ST;86;SP;1;PD;F;ROH;;88;;W-BRU001;W11;
3;3;500338479;Senkschr.M4x20 ISO10642-A4-80;4;ST;86;SP;1;PD;F;ROH;;88;;W-BRU001;W09;
3;4;700019595;Sechskantm.M6 ISO4032-A2-70;4;ST;86;SP;1;ND;F;ROH;;88;;W-BRU001;W09;X
3;5;650010409;Sechskantm.M5 ISO4032 A4-80;1;ST;86;SP;1;ND;F;ROH;;88;;W-BRU001;W09;X
3;6;815001288;Sperrkantscheibe SKM-6-NrFst (A4);4;ST;86;SP;1;ND;F;ROH;;88;;W-BRU001;W09;X
3;7;815001511;Sperrkantscheibe SKS-5-NrFSt;1;ST;86;SP;1;ND;F;ROH;;88;;W-BRU001;W09;X
3;8;500494166;Brücker 3-fach M10 für Klemme 6-120 mm2;1;ST;86;SP;1;ND;F;ROH;;88;;W-BRU001;W11;X
3;9;500388615;Pastensockel PMB5-BK 151-02255;5;ST;86;SP;1;ND;F;ROH;;88;;W-BRU001;W12;X
3;1;500098888;Plexus MA 420-2K-MMA; 0,000;KG;86;SP;1;PD;F;ROH;1;88;;70887;W09;
3;1;500036716;Montagepaste Klüber 46MR401; 0,020;KG;86;SP;1;PD;F;ROH;1;88;;75134;W09;
3;11;500340296;Loctite 243 Schraubensicherung; 0,004;KG;86;SP;1;PD;F;ROH;1;88;;W-VIE001;W09;
3;995;500585403;Elektrikunterlagen STIB;1;ST;86;SP;200;PD;E;HALB;;;;W-BRU001;;
3;1;650010412;Sechskantm.M10 ISO4032-A4-80;1;ST;86;SP;1;ND;F;ROH;;88;;W-VIE001;W09;X
3;2;500039227;Sperrkantscheibe SKS-10 TN096050-NrFSt;2;ST;86;SP;1;ND;F;ROH;;88;;W-VIE001;W09;X
3;3;500329842;Sechskantschr.M10x30 ISO4017-A4-80;1;ST;86;SP;1;ND;F;ROH;;88;;W-VIE001;W09;X
3;951;500464328;Kontaktfett P1 AL/CU Verbindungen 91120; 0,001;KG;86;SP;1;PD;F;ROH;1;88;;72340;W02;
3;1;500331676;Sechskantschr.M10x25 ISO4017-A4-80;1;ST;86;SP;1;ND;F;ROH;;88;;W-VIE001;W09;X
3;2;500039227;Sperrkantscheibe SKS-10 TN096050-NrFSt;1;ST;86;SP;1;ND;F;ROH;;88;;W-VIE001;W09;X
3;3;500475243;Halteklammer M10   9911440129 Nosta;1;ST;86;SP;1;PD;F;ROH;;88;;W-VIE001;W05;X
3;4;500475242;Rhombus-Mutter für T-Nuten 9923786106;1;ST;86;SP;1;ND;F;ROH;;88;;W-VIE001;W09;X
3;951;500464328;Kontaktfett P1 AL/CU Verbindungen 91120; 0,001;KG;86;SP;1;PD;F;ROH;1;88;;74611;W02;
3;1;650010410;Sechskantm.M6 ISO4032-A4-80;1;ST;86;SP;1;ND;F;ROH;;88;;W-FIN001;W09;X
3;2;815001308;Sperrkantscheibe SKS-6-NrFSt;2;ST;86;SP;1;ND;F;ROH;;88;;W-FIN001;W09;X
3;3;500418902;Sechskantschr.M6x16 ISO4017-A4-70;1;ST;86;SP;1;ND;F;ROH;;88;;W-FIN001;W09;X
3;951;500464328;Kontaktfett P1 AL/CU Verbindungen 91120; 0,001;KG;86;SP;1;PD;F;ROH;1;88;;74611;W02;
1;2;500589515;Ausbau 3027;1;ST;86;SP;1;PD;E;HALB;1;15;INV;W-BRU001;;
